loan_amnt,term,int_rate,installment,sub_grade,home_ownership,annual_inc,verification_status,issue_d,purpose,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,default_flag,emp_length_years,emp_length_unknown,credit_history_years,loan_to_income
6750.0,60,25.88,201.62,F4,OWN,60000.0,Source Verified,2016-04-01,debt_consolidation,6.72,2003-11-01,3.0,2.0,8135.0,84.0,17.0,w,INDIVIDUAL,2.0,0.0,0,6.0,1,12.4,0.112
16000.0,36,13.11,539.96,B4,RENT,75011.64,Source Verified,2013-05-01,credit_card,32.87,1999-08-01,16.0,0.0,22094.0,36.3,52.0,w,INDIVIDUAL,3.0,0.0,0,10.0,0,13.7,0.213
4000.0,36,13.35,135.46,C2,MORTGAGE,60000.0,Not Verified,2014-08-01,credit_card,23.66,1992-04-01,11.0,0.0,3747.0,49.3,36.0,w,INDIVIDUAL,3.0,0.0,1,10.0,0,22.3,0.067
19750.0,36,9.16,629.52,B2,RENT,59000.0,Source Verified,2016-03-01,debt_consolidation,10.25,2013-01-01,2.0,0.0,15332.0,79.0,9.0,w,INDIVIDUAL,0.0,0.0,0,10.0,0,3.2,0.335
20000.0,36,7.89,625.72,A5,MORTGAGE,65000.0,Source Verified,2015-02-01,credit_card,21.31,1983-12-01,10.0,0.0,9600.0,25.7,47.0,w,INDIVIDUAL,9.0,0.0,0,1.0,0,31.2,0.308
8400.0,36,18.25,304.74,D2,RENT,30000.0,Not Verified,2013-09-01,other,8.48,2004-05-01,6.0,0.0,5855.0,49.2,14.0,f,INDIVIDUAL,0.0,0.0,0,4.0,0,9.3,0.28
22650.0,60,13.67,523.16,C4,RENT,71000.0,Source Verified,2015-11-01,debt_consolidation,11.66,1999-08-01,12.0,0.0,26577.0,84.6,16.0,w,INDIVIDUAL,0.0,0.0,0,3.0,0,16.3,0.319
4000.0,36,9.17,127.52,B1,MORTGAGE,110000.0,Not Verified,2014-10-01,home_improvement,5.93,1997-09-01,6.0,0.0,25613.0,94.9,22.0,w,INDIVIDUAL,3.0,0.0,0,5.0,0,17.1,0.036
20000.0,36,9.17,637.58,B2,MORTGAGE,105000.0,Source Verified,2015-06-01,debt_consolidation,10.83,1993-09-01,15.0,0.0,26929.0,76.7,32.0,w,INDIVIDUAL,5.0,0.0,0,10.0,0,21.7,0.19
13325.0,36,14.99,461.86,C5,MORTGAGE,69000.0,Not Verified,2015-01-01,credit_card,27.03,1991-03-01,16.0,0.0,34815.0,73.4,29.0,w,INDIVIDUAL,3.0,0.0,0,10.0,0,23.8,0.193
2500.0,36,11.44,82.37,B4,OWN,33000.0,Not Verified,2015-01-01,other,22.44,1992-07-01,6.0,0.0,8866.0,76.4,15.0,f,INDIVIDUAL,2.0,0.0,0,1.0,0,22.5,0.076
10000.0,36,12.12,332.72,B3,RENT,40000.0,Not Verified,2013-07-01,debt_consolidation,12.84,1999-08-01,8.0,0.0,16276.0,54.6,16.0,f,INDIVIDUAL,0.0,0.0,0,3.0,0,13.9,0.25
20000.0,36,8.9,635.07,A5,MORTGAGE,108717.0,Verified,2013-04-01,credit_card,11.39,2000-10-01,10.0,0.0,24022.0,77.4,34.0,w,INDIVIDUAL,3.0,0.0,0,9.0,0,12.5,0.184
25000.0,36,7.62,779.04,A3,MORTGAGE,180000.0,Source Verified,2013-03-01,debt_consolidation,9.76,1997-04-01,13.0,0.0,120956.0,35.5,32.0,f,INDIVIDUAL,3.0,0.0,0,3.0,0,15.9,0.139
13000.0,36,9.99,419.42,B1,MORTGAGE,53000.0,Source Verified,2013-09-01,credit_card,16.89,1996-01-01,16.0,0.0,13554.0,44.1,33.0,f,INDIVIDUAL,0.0,0.0,0,10.0,0,17.7,0.245
28000.0,36,7.26,867.9,A4,MORTGAGE,99840.0,Source Verified,2015-06-01,other,7.66,1998-04-01,18.0,0.0,9603.0,7.9,40.0,w,INDIVIDUAL,6.0,0.0,0,7.0,0,17.2,0.28
28000.0,36,13.67,952.5,B5,MORTGAGE,120000.0,Verified,2013-11-01,credit_card,13.23,1994-10-01,4.0,0.0,1616.0,101.0,22.0,w,INDIVIDUAL,4.0,0.0,0,10.0,0,19.1,0.233
35000.0,36,17.77,1261.3,D1,MORTGAGE,115000.0,Verified,2013-02-01,debt_consolidation,9.68,1983-07-01,15.0,0.0,21178.0,71.8,40.0,f,INDIVIDUAL,6.0,0.0,1,10.0,0,29.6,0.304
21600.0,36,16.55,765.28,D2,MORTGAGE,58000.0,Source Verified,2015-04-01,debt_consolidation,31.76,2004-09-01,13.0,0.0,7554.0,22.8,21.0,f,INDIVIDUAL,0.0,0.0,0,2.0,0,10.6,0.372
19800.0,60,18.99,513.52,E1,RENT,45000.0,Source Verified,2014-07-01,credit_card,21.47,2007-12-01,11.0,0.0,26238.0,77.4,15.0,w,INDIVIDUAL,0.0,0.0,1,7.0,0,6.6,0.44
13225.0,36,18.85,483.78,D3,OWN,52000.0,Verified,2013-09-01,debt_consolidation,20.65,1995-06-01,9.0,0.0,14211.0,87.7,16.0,f,INDIVIDUAL,0.0,0.0,1,7.0,0,18.3,0.254
24250.0,60,22.47,676.26,E5,MORTGAGE,70000.0,Source Verified,2013-04-01,debt_consolidation,23.97,2003-02-01,14.0,0.0,17752.0,87.0,25.0,w,INDIVIDUAL,1.0,0.0,1,0.0,0,10.2,0.346
12000.0,36,9.76,385.86,B1,RENT,30000.0,Not Verified,2012-04-01,vacation,11.12,1998-08-01,6.0,0.0,7643.0,84.0,13.0,f,INDIVIDUAL,0.0,0.0,0,5.0,0,13.7,0.4
6075.0,36,18.25,220.39,E1,OWN,16000.0,Verified,2015-07-01,credit_card,29.78,2000-06-01,10.0,0.0,15968.0,68.2,13.0,f,INDIVIDUAL,0.0,0.0,0,6.0,1,15.1,0.38
